filecode,inputLine,SecType,Symbol,Underlying,Expiry,Strike,O_Type,Trade_Time,TotalQ,Lot_Time,Exchange,Q,Price,Proceeds,CommTax,Basis,Realized_PL,Multi,Codes,1675,Account
09S,35,O,AMZN 18FEB12 180.0 P,AMZN,2012-02-18,180,P,2012-01-19 10:11:42,6,,ISE,5,4.76,-2380,-3.32,2383.32,0,100,P;O,O,IB9048
09S,36,O,BJRI 18FEB12 45.0 C,BJRI,2012-02-18,45,C,2012-01-19 13:41:15,-2,,CBOE,-2,2.05,410,-1.46,-408.54,0,100,O,O,IB9048
09S,37,S,AXL,AXL,,,,2012-01-20 12:54:39,800,,CSFBCROSS,300,11.29,-3387,-1.41,3388.41,0,1,P;O,O,IB9048
09S,38,S,AXL,AXL,,,,2012-01-20 12:54:39,800,,CSFBCROSS,500,11.29,-5645,-2.35,5647.35,0,1,P;O,O,IB9048
09S,39,O,BRCM 18FEB12 37.0 C,BRCM,2012-02-18,37,C,2012-01-20 15:10:06,22,,CBOE2,17,0.67,-1139,-6.03,1145.03,0,100,P;O,O,IB9048
09S,40,O,BRCM 18FEB12 37.0 C,BRCM,2012-02-18,37,C,2012-01-20 15:10:06,22,,CBOE,2,0.63,-126,-1.45,127.45,0,100,P;O,O,IB9048
09S,41,O,BRCM 18FEB12 37.0 C,BRCM,2012-02-18,37,C,2012-01-20 15:10:06,22,,AMEX,1,0.63,-63,-0.72,63.72,0,100,P;O,O,IB9048
09S,42,O,BRCM 18FEB12 37.0 C,BRCM,2012-02-18,37,C,2012-01-20 15:10:06,22,,ISE,2,0.64,-128,-1.45,129.45,0,100,P;O,O,IB9048
09S,43,O,BRCM 18FEB12 38.0 C,BRCM,2012-02-18,38,C,2012-01-20 15:10:06,-22,,AMEX,-1,0.4,40,-1.03,-38.97,0,100,P;O,O,IB9048
09S,44,O,BRCM 18FEB12 38.0 C,BRCM,2012-02-18,38,C,2012-01-20 15:10:06,-22,,ISE,-2,0.4,80,-1.15,-78.85,0,100,P;O,O,IB9048
09S,45,O,BRCM 18FEB12 38.0 C,BRCM,2012-02-18,38,C,2012-01-20 15:10:06,-22,,CBOE2,-17,0.42,714,-6.04,-707.96,0,100,P;O,O,IB9048
09S,46,O,BRCM 18FEB12 38.0 C,BRCM,2012-02-18,38,C,2012-01-20 15:10:06,-22,,CBOE,-2,0.4,80,-1.45,-78.55,0,100,P;O,O,IB9048
09S,47,O,BRCM 18FEB12 32.0 P,BRCM,2012-02-18,32,P,2012-01-20 15:10:06,-22,,AMEX,-1,0.56,56,-1.03,-54.97,0,100,P;O,O,IB9048
09S,48,O,BRCM 18FEB12 32.0 P,BRCM,2012-02-18,32,P,2012-01-20 15:10:06,-22,,CBOE2,-17,0.62,1054,-5.75,-1048.25,0,100,P;O,O,IB9048
09S,49,O,BRCM 18FEB12 32.0 P,BRCM,2012-02-18,32,P,2012-01-20 15:10:06,-22,,ISE,-2,0.56,112,-1.45,-110.55,0,100,P;O,O,IB9048
