filecode,Symbol,Trade_Time,Underlying,Expiry,Strike,O_Type,Xchange,Q,Price,C_Price,Proceeds,CommTax,Basis,Realized_PL,MTM_PL,Codes,TotalQ,bkrType,yr,inputLine,SecType
60518S,CELG,7/23/2012 13:50,CELG,,,,-,200,65.65,65.78,-13130,-0.3,13130.3,0,26,O,200,order,12,434,S
60518S,CADX,7/23/2012 13:57,CADX,,,,-,300,4.13,4.15,-1239,-0.48,1239.48,0,6,P;O,300,order,12,435,S
60518S,LNKD,7/23/2012 14:16,LNKD,,,,-,-100,104.62,104.2,10462,-0.71,-10461.29,715.94,42,P;O,-100,order,12,436,S
60518S,LNKD,7/23/2012 14:54,LNKD,,,,-,100,103.61,104.2,-10361,-0.52,9745.35,-616.17,59,P;LI;C,100,order,12,437,S
60518S,ARNA,7/23/2012 15:43,ARNA,,,,-,500,9.93,9.94,-4965,-1.3,4966.3,0,5,P;O,500,order,12,438,S
60518S,ALXA,7/24/2012 15:58,ALXA,,,,-,213,3.47,3.51,-739.11,-1.43,740.54,0,8.52,P;O,213,order,12,439,S
60518S,ALXA,7/25/2012 9:30,ALXA,,,,-,287,3.46,3.54,-993.02,-1.21,994.23,0,22.96,O,287,order,12,440,S
60518S,LNKD,7/25/2012 10:37,LNKD,,,,-,100,102.21,102.19,-10221,-0.57,9454.73,-766.84,-2,LI;C,100,order,12,441,S
60518S,LNKD,7/25/2012 10:59,LNKD,,,,-,100,101.51,102.19,-10151,-0.57,8756.86,-1394.71,68,LI;C,100,order,12,442,S
60518S,LNKD,7/25/2012 11:14,LNKD,,,,-,-100,102.56,102.19,10256,-0.8,-10255.2,616.17,37,O,-100,order,12,443,S
60518S,LNKD,7/25/2012 16:35,LNKD,,,,-,76,101.51,102.19,-7714.76,-0.56,7325.74,-389.57,51.68,LI;C,76,order,12,444,S
60518S,CELG,7/25/2012 17:14,CELG,,,,-,-100,66.66,65.28,6666,-0.66,-6565.15,100.19,138,LI;C,-100,order,12,445,S
60518S,LNKD,7/26/2012 6:10,LNKD,,,,-,24,101.51,100.82,-2436.24,-0.66,2313.29,-123.61,-16.56,LI;C,24,order,12,446,S
60518S,CELG,7/26/2012 7:39,CELG,,,,-,-100,67.66,67.49,6766,-0.66,-6565.15,200.19,17,LI;C,-100,order,12,447,S
60518S,LNKD,7/26/2012 10:02,LNKD,,,,-,100,100.51,100.82,-10051,-0.57,8931.27,-1120.3,31,LI;C,100,order,12,448,S
60518S,LNKD,7/26/2012 11:13,LNKD,,,,-,-100,101.52,100.82,10152,-0.8,-10151.2,766.84,70,O,-100,order,12,449,S
60518S,LNKD,7/26/2012 11:54,LNKD,,,,-,100,100.51,100.82,-10051,-0.51,9384.36,-667.14,31,P;LI;C,100,order,12,450,S
60518S,LNKD,7/26/2012 13:06,LNKD,,,,-,-100,101.52,100.82,10152,-0.8,-10151.2,1394.71,70,O,-100,order,12,451,S
60518S,LNKD,7/26/2012 14:20,LNKD,,,,-,100,100.51,100.82,-10051,-0.57,8756.49,-1295.08,31,LI;C,100,order,12,452,S
60518S,LNKD,7/26/2012 17:01,LNKD,,,,-,100,98.9922,100.82,-9899.22,-1.02,9022.56,-877.68,182.78,P;LI;C,100,order,12,453,S
60518S,LNKD,7/26/2012 17:29,LNKD,,,,-,-100,99.52,100.82,9952,-0.73,-9951.27,513.18,-130,O,-100,order,12,454,S
60518S,LNKD,7/27/2012 8:43,LNKD,,,,-,100,98.01,103.42,-9801,-0.51,9438.09,-363.42,541,LI;C,100,order,12,455,S
60518S,CELG,7/27/2012 9:30,CELG,,,,-,-100,68.1,70.6,6810,-0.66,-6381.15,428.19,-250,LI;C,-100,order,12,456,S
60518S,LNKD,7/27/2012 9:56,LNKD,,,,-,-100,99.62,103.42,9962,-0.79,-9961.21,1120.3,-380,O,-100,order,12,457,S
60518S,LNKD,7/27/2012 10:20,LNKD,,,,-,100,99.01,103.42,-9901,-0.57,8840.91,-1060.67,441,LI;C,100,order,12,458,S
60518S,LNKD,7/27/2012 10:26,LNKD,,,,-,-100,99.62,103.42,9962,-0.79,-9961.21,667.14,-380,O,-100,order,12,459,S
60518S,CADX,7/27/2012 10:45,CADX,,,,-,-300,4.35,4.4,1305,-0.48,-2826.38,0,-15,P;MSL;C,-300,order,12,460,S
60518S,ARNA,7/27/2012 11:08,ARNA,,,,-,300,9.5,9.42,-2850,-0.45,2850.45,0,-24,O,300,order,12,461,S
60518S,LNKD,7/27/2012 11:40,LNKD,,,,-,-100,101.97,103.42,10197,-0.8,-10196.2,1295.08,-145,O,-100,order,12,462,S
60518S,LNKD,7/27/2012 15:18,LNKD,,,,-,-100,103.12,103.42,10312,-0.8,-10311.2,877.68,-30,O,-100,order,12,463,S
60518S,ANR,7/30/2012 7:17,ANR,,,,-,-400,7.14,7.15,2856,-0.71,-2698.91,156.39,-4,LI;C,-400,order,12,464,S
60518S,LNKD,7/30/2012 9:41,LNKD,,,,-,-100,104.62,104.18,10462,-0.8,-10461.2,363.42,44,O,-100,order,12,465,S
60518S,ANR,7/30/2012 11:19,ANR,,,,-,1000,6.46,7.15,-6460,-2.96,6462.96,0,690,P;O,1000,order,12,466,S
60518S,LNKD,7/30/2012 12:24,LNKD,,,,-,100,103.51,104.18,-10351,-0.57,10097.77,-253.8,67,LI;C,100,order,12,467,S
60518S,LNKD,7/30/2012 13:05,LNKD,,,,-,-100,104.62,104.18,10462,-0.8,-10461.2,1060.67,44,O,-100,order,12,468,S
60518S,ANR,7/30/2012 13:37,ANR,,,,-,-300,6.77,7.15,2031,-0.71,-1938.66,91.63,-114,P;LI;C,-300,order,12,469,S
60518S,ANR,7/30/2012 14:25,ANR,,,,-,-100,6.81,7.15,681,-0.59,-646.22,34.19,-34,LI;C,-100,order,12,470,S
60518S,LNKD,7/30/2012 14:28,LNKD,,,,-,100,103.51,104.18,-10351,-0.57,9400.53,-951.04,67,LI;C,100,order,12,471,S
60518S,ANR,7/30/2012 15:17,ANR,,,,-,-300,7.07,7.15,2121,-0.71,-1938.66,181.63,-24,LI;C,-300,order,12,472,S
60518S,ANR,7/30/2012 15:48,ANR,,,,-,-300,7.19,7.15,2157,-0.71,-1939.42,216.87,12,LI;C,-300,order,12,473,S
60518S,LNKD,7/31/2012 9:43,LNKD,,,,-,-100,105.17,102.65,10517,-0.75,-10516.25,253.8,252,O,-100,order,12,474,S
60518S,ANR,7/31/2012 9:48,ANR,,,,-,300,6.76,7.01,-2028,-0.66,2028.66,0,75,O,300,order,12,475,S
60518S,LNKD,7/31/2012 9:56,LNKD,,,,-,100,103.51,102.65,-10351,-0.51,10262.46,-89.06,-86,LI;C,100,order,12,476,S
60518S,ANR,7/31/2012 10:04,ANR,,,,-,300,6.75,7.01,-2025,-0.66,2025.66,0,78,O,300,order,12,477,S
60518S,LNKD,7/31/2012 10:11,LNKD,,,,-,100,102.11,102.65,-10211,-0.57,9433.52,-778.05,54,LI;C,100,order,12,478,S
60518S,LNKD,7/31/2012 10:24,LNKD,,,,-,-100,103.22,102.65,10322,-0.7,-10321.3,951.04,57,O,-100,order,12,479,S
60518S,LNKD,7/31/2012 10:28,LNKD,,,,-,100,102.11,102.65,-10211,-0.49,9370.26,-841.23,54,P;LI;C,100,order,12,480,S
60518S,ANR,7/31/2012 11:10,ANR,,,,-,-300,7.07,7.01,2121,-0.71,-2025.66,94.63,18,LI;C,-300,order,12,481,S
60518S,LNKD,7/31/2012 11:23,LNKD,,,,-,-100,103.22,102.65,10322,-0.74,-10321.26,89.06,57,O,-100,order,12,482,S
60518S,LNKD,7/31/2012 12:05,LNKD,,,,-,100,102.11,102.65,-10211,-0.57,10232.2,20.63,54,LI;C,100,order,12,483,S
60518S,ATML,7/31/2012 15:06,ATML,,,,-,1000,5.84,5.86,-5840,-3.21,5843.21,0,20,P;O,1000,order,12,484,S
60518S,LNKD,8/1/2012 9:25,LNKD,,,,-,-100,103.79,95.64,10379,-0.73,-10378.27,778.05,815,O,-100,order,12,485,S
60518S,LNKD,8/1/2012 9:36,LNKD,,,,-,100,102.51,95.64,-10251,-0.53,9600.22,-651.31,-687,P;LI;C,100,order,12,486,S
60518S,LNKD,8/1/2012 12:02,LNKD,,,,-,100,100.51,95.64,-10051,-0.57,8901.12,-1150.45,-487,LI;C,100,order,12,487,S
60518S,LNKD,8/1/2012 13:13,LNKD,,,,-,100,99.01,95.64,-9901,-0.51,9294.06,-607.45,-337,LI;C,100,order,12,488,S
60518S,LNKD,8/1/2012 14:57,LNKD,,,,-,100,98.01,95.64,-9801,-0.51,9887.1,85.59,-237,LI;C,100,order,12,489,S
60518S,ATML,8/2/2012 8:09,ATML,,,,-,1000,5.45,5.54,-5450,-1.6,5451.6,0,90,O,1000,order,12,490,S
60518S,LNKD,8/2/2012 11:14,LNKD,,,,-,100,93.01,93.51,-9301,-0.51,9573.06,271.55,50,LI;C,100,order,12,491,S
60518S,LNKD,8/2/2012 12:00,LNKD,,,,-,-100,93.76,93.51,9376,-0.72,-9375.28,841.23,25,O,-100,order,12,492,S
60518S,LNKD,8/2/2012 12:34,LNKD,,,,-,100,93.01,93.51,-9301,-0.51,8534.05,-767.46,50,LI;C,100,order,12,493,S
60518S,LNKD,8/2/2012 13:11,LNKD,,,,-,-100,93.76,93.51,9376,-0.78,-9375.22,651.31,25,P;O,-100,order,12,494,S
60518S,ANR,8/2/2012 13:20,ANR,,,,-,300,6.75,6.66,-2025,-0.66,2025.66,0,-27,O,300,order,12,495,S
60518S,ARNA,8/2/2012 13:36,ARNA,,,,-,500,7.68,7.75,-3840,-0.8,3840.8,0,35,P;O,500,order,12,496,S
60518S,LNKD,8/2/2012 13:38,LNKD,,,,-,100,93.01,93.51,-9301,-0.57,8723.91,-577.66,50,LI;C,100,order,12,497,S
60518S,LNKD,8/2/2012 15:45,LNKD,,,,-,-100,93.76,93.51,9376,-0.72,-9375.28,1150.45,25,O,-100,order,12,498,S
60518S,LNKD,8/2/2012 15:52,LNKD,,,,-,100,93.01,93.51,-9301,-0.51,8224.83,-1076.68,50,LI;C,100,order,12,499,S
60518S,LNKD,8/2/2012 16:22,LNKD,,,,-,-100,96.67,93.51,9667,-0.73,-9666.27,607.45,316,O,-100,order,12,500,S
60518S,LNKD,8/2/2012 16:34,LNKD,,,,-,-100,97.52,93.51,9752,-0.73,-9751.27,767.46,401,P;O,-100,order,12,501,S
60518S,LNKD,8/2/2012 16:37,LNKD,,,,-,100,96.51,93.51,-9651,-0.51,8983.81,-667.7,-300,LI;C,100,order,12,502,S
60518S,LNKD,8/2/2012 16:41,LNKD,,,,-,-100,97.52,93.51,9752,-0.73,-9751.27,577.66,401,P;O,-100,order,12,503,S
60518S,LNKD,8/2/2012 18:17,LNKD,,,,-,-100,100.52,93.51,10052,-0.74,-10051.26,1076.68,701,P;O,-100,order,12,504,S
60518S,ATML,8/3/2012 9:30,ATML,,,,-,-200,5.66,5.44,1132,-0.87,-1090.32,40.81,44,LI;C,-200,order,12,505,S
60518S,ANR,8/3/2012 11:45,ANR,,,,-,-300,7.07,6.89,2121,-0.71,-2025.66,94.63,54,LI;C,-300,order,12,506,S
60518S,AAPL 17NOV12 660.0 C,8/3/2012 11:52,AAPL,2012-11-17 00:00:00,660.00,C,-,-1,18.7,18.010542,1870,-0.66,-1869.34,0,68.95,O,-1,order,12,507,O
60518S,AAPL 17NOV12 665.0 C,8/3/2012 11:54,AAPL,2012-11-17 00:00:00,665.00,C,-,-1,17.2,16.517713,1720,-1.1,-1718.9,0,68.23,O,-1,order,12,508,O
60518S,AAPL 20OCT12 660.0 C,8/3/2012 11:55,AAPL,2012-10-20 00:00:00,660.00,C,-,-1,12.5,11.743554,1250,-1.09,-1248.91,0,75.64,O,-1,order,12,509,O
60518S,AAPL 17NOV12 660.0 C,8/3/2012 11:56,AAPL,2012-11-17 00:00:00,660.00,C,-,-1,18.7,18.010542,1870,-1.1,-1868.9,0,68.95,O,-1,order,12,510,O
60518S,LNKD 18JAN14 125.0 C,8/3/2012 14:49,LNKD,2014-01-18 00:00:00,125.00,C,-,-1,19.9,19.665021,1990,-0.35,-1989.65,0,23.5,O,-1,order,12,511,O
60518S,ARNA,8/3/2012 14:54,ARNA,,,,-,500,7.42,7.39,-3710,-0.75,3710.75,0,-15,P;O,500,order,12,512,S
60518S,ANR,8/6/2012 11:15,ANR,,,,-,300,6.75,6.83,-2025,-0.66,2025.66,0,24,O,300,order,12,513,S
60518S,ANR,8/7/2012 9:32,ANR,,,,-,-300,7.02,6.9,2106,-0.71,-2025.66,79.63,36,LI;C,-300,order,12,514,S
60518S,ATML,8/7/2012 9:59,ATML,,,,-,-300,5.86,6.06,1758,-0.52,-1635.48,122,-60,P;LI;C,-300,order,12,515,S
60518S,ATML,8/7/2012 11:27,ATML,,,,-,-200,6.01,6.06,1202,-0.33,-1090.32,111.35,-10,LI;C,-200,order,12,516,S
60518S,ATML,8/7/2012 11:43,ATML,,,,-,-200,6.06,6.06,1212,-0.33,-1090.32,121.35,0,LI;C,-200,order,12,517,S
60518S,ANR,8/8/2012 7:51,ANR,,,,-,-300,7.22,6.3,2166,-0.53,-2028.66,136.81,276,LI;C,-300,order,12,518,S
60518S,ANR,8/8/2012 10:52,ANR,,,,-,300,6.27,6.3,-1881,-0.45,1881.45,0,9,O,300,order,12,519,S
60518S,ANR,8/8/2012 10:56,ANR,,,,-,-300,6.62,6.3,1986,-0.71,-1881.45,103.84,96,LI;C,-300,order,12,520,S
60518S,ANR,8/8/2012 14:39,ANR,,,,-,300,6.31,6.3,-1893,-0.66,1893.66,0,-3,O,300,order,12,521,S
60518S,ANR,8/8/2012 15:25,ANR,,,,-,300,6.27,6.3,-1881,-0.45,1881.45,0,9,O,300,order,12,522,S
60518S,ANR,8/8/2012 15:25,ANR,,,,-,100,6.2,6.3,-620,-0.57,620.57,0,10,O,100,order,12,523,S
60518S,ANR,8/9/2012 9:43,ANR,,,,-,200,6.2,7.25,-1240,-0.44,1240.44,0,210,O,200,order,12,524,S
60518S,ANR,8/9/2012 10:39,ANR,,,,-,-300,6.62,7.25,1986,-0.71,-1861.01,124.28,-189,LI;C,-300,order,12,525,S
60518S,ANR,8/9/2012 11:06,ANR,,,,-,-300,6.92,7.25,2076,-0.71,-1881.45,193.84,-99,LI;C,-300,order,12,526,S
60518S,ALXA,8/9/2012 11:57,ALXA,,,,-,600,2.99,2.98,-1794,-0.9,1794.9,0,-6,O,600,order,12,527,S
60518S,ALXA,8/9/2012 11:57,ALXA,,,,-,600,2.99,2.98,-1794,-0.96,1794.96,0,-6,O,600,order,12,528,S
60518S,ALXA,8/9/2012 11:58,ALXA,,,,-,600,2.98,2.98,-1788,-0.9,1788.9,0,0,O,600,order,12,529,S
60518S,ANR,8/9/2012 14:14,ANR,,,,-,-300,7.22,7.25,2166,-0.71,-1893.66,271.63,-9,LI;C,-300,order,12,530,S
60518S,ANR,8/14/2012 9:55,ANR,,,,-,300,7.01,6.84,-2103,-0.66,2103.66,0,-51,O,300,order,12,531,S
60518S,ARNA,8/14/2012 13:33,ARNA,,,,-,-300,7.89,8.26,2367,-0.5,-2226.19,140.31,-111,P;LI;C,-300,order,12,532,S
60518S,ARNA,8/14/2012 15:25,ARNA,,,,-,-200,8.27,8.26,1654,-0.34,-1484.56,169.1,2,P;LI;C,-200,order,12,533,S
60518S,ANR,8/15/2012 9:39,ANR,,,,-,300,6.61,6.61,-1983,-0.66,1983.66,0,0,O,300,order,12,534,S
60518S,ARNA,8/16/2012 9:44,ARNA,,,,-,200,7.88,7.82,-1576,-0.3,1576.3,0,-12,O,200,order,12,535,S
60518S,AAPL 17NOV12 720.0 C,8/17/2012 12:15,AAPL,2012-11-17 00:00:00,720.00,C,-,-1,10.25,11.351018,1025,-0.64,-1024.36,0,-110.1,O,-1,order,12,536,O
60518S,ANR,8/20/2012 9:35,ANR,,,,-,200,6.41,6.5,-1282,-0.44,1282.44,0,18,O,200,order,12,537,S
60518S,ANR,8/21/2012 9:30,ANR,,,,-,-200,6.62,6.9,1324,-0.47,-1282.44,41.09,-56,LI;C,-200,order,12,538,S
60518S,ANR,8/21/2012 10:18,ANR,,,,-,-300,6.92,6.9,2076,-0.71,-1983.66,91.63,6,LI;C,-300,order,12,539,S
60518S,ANR,8/22/2012 10:30,ANR,,,,-,-300,7.22,7.12,2166,-0.71,-2103.66,61.63,30,LI;C,-300,order,12,540,S
60518S,ARNA,8/22/2012 12:20,ARNA,,,,-,-200,8.62,8.67,1724,-0.36,-1576.3,147.34,-10,P;LI;C,-200,order,12,541,S
60518S,ANR,8/23/2012 9:58,ANR,,,,-,300,6.91,6.59,-2073,-0.66,2073.66,0,-96,O,300,order,12,542,S
60518S,ARNA,8/27/2012 12:11,ARNA,,,,-,-200,9.12,9.32,1824,-0.36,-1536.32,287.32,-40,P;LI;C,-200,order,12,543,S
60518S,ALXA,8/28/2012 14:02,ALXA,,,,-,-500,4.55,4.66,2275,-0.85,-2010.75,263.4,-55,C,-500,order,12,544,S
60518S,AAPL 22DEC12 660.0 C,8/29/2012 13:51,AAPL,2012-12-22 00:00:00,660.00,C,-,-1,50.74,49.960537,5074,-0.8,-5073.2,0,77.95,O,-1,order,12,545,O
60518S,AAPL 20OCT12 660.0 C,8/29/2012 13:51,AAPL,2012-10-20 00:00:00,660.00,C,-,1,35.74,34.975152,-3574,-0.69,1248.91,-2325.78,-76.48,LI;C,1,order,12,546,O
60518S,AAPL 22DEC12 660.0 C,8/29/2012 15:35,AAPL,2012-12-22 00:00:00,660.00,C,-,-2,49.96,49.960537,9992,-1,-9991,0,-0.11,O,-2,order,12,547,O
60518S,AAPL 17NOV12 660.0 C,8/29/2012 15:35,AAPL,2012-11-17 00:00:00,660.00,C,-,2,43.66,43.456414,-8732,-0.78,3738.24,-4994.54,-40.72,LI;C,2,order,12,548,O
60518S,AXL 19JAN13 12.5 C,9/5/2012 14:40,AXL,2013-01-19 00:00:00,12.50,C,-,-6,0.85,0.876159,510,-4.57,-505.43,0,-15.7,O,-6,order,12,549,O
60518S,ARNA,9/6/2012 11:14,ARNA,,,,-,200,8.61,8.7,-1722,-0.32,1722.32,0,18,O,200,order,12,550,S
60518S,LNKD 18JAN14 150.0 C,9/6/2012 13:11,LNKD,2014-01-18 00:00:00,150.00,C,-,-1,13.5,14.525152,1350,-0.34,-1349.66,0,-102.52,O,-1,order,12,551,O
60518S,LNKD 18JAN14 150.0 C,9/6/2012 13:29,LNKD,2014-01-18 00:00:00,150.00,C,-,-1,14,14.525152,1400,-0.34,-1399.66,0,-52.52,O,-1,order,12,552,O
60518S,ARNA,9/7/2012 9:44,ARNA,,,,-,200,8.61,8.6,-1722,-0.32,1722.32,0,-2,O,200,order,12,553,S
60518S,C 17NOV12 35.0 C,9/7/2012 14:34,C,2012-11-17 00:00:00,35.00,C,-,-4,0.83,0.844967,332,-3.04,-328.96,0,-5.99,O,-4,order,12,554,O
60518S,ANR,9/10/2012 9:52,ANR,,,,-,-300,7.27,6.92,2181,-0.71,-2073.66,106.63,105,LI;C,-300,order,12,555,S
60518S,ANR,9/10/2012 12:09,ANR,,,,-,300,7.11,6.92,-2133,-0.66,2133.66,0,-57,P;O,300,order,12,556,S
60518S,ANR,9/11/2012 10:07,ANR,,,,-,-300,7.28,7.45,2184,-0.71,-5478.92,0,-51,P;C,-300,order,12,557,S
60518S,C,9/11/2012 10:38,C,,,,-,-200,32.61,32.66,6522,-0.59,-6008.44,512.97,-10,P;C,-200,order,12,558,S
60518S,ANR,9/12/2012 10:28,ANR,,,,-,300,7.11,7.34,-2133,-0.66,2133.66,0,69,O,300,order,12,559,S
60518S,ARNA,9/12/2012 10:37,ARNA,,,,-,400,8.18,8.36,-3272,-0.64,3272.64,0,72,O,400,order,12,560,S
60518S,ARNA,9/12/2012 11:02,ARNA,,,,-,-200,8.36,8.36,1672,-0.36,-2224.61,0,0,C,-200,order,12,561,S
60518S,ARNA,9/12/2012 11:44,ARNA,,,,-,-200,8.62,8.36,1724,-0.36,-2224.22,0,52,C,-200,order,12,562,S
60518S,ANR,9/12/2012 14:04,ANR,,,,-,-300,7.32,7.34,2196,-0.71,-2133.66,61.63,-6,LI;C,-300,order,12,563,S
60518S,ARNA,9/12/2012 15:06,ARNA,,,,-,200,8.35,8.36,-1670,-0.32,1670.32,0,2,P;O,200,order,12,564,S
60518S,C,9/12/2012 16:00,C,,,,-,-200,33.66,33.05,6732,-0.47,-5922.44,809.09,122,SL;C,-200,order,12,565,S
60518S,ANR,9/13/2012 11:19,ANR,,,,-,-200,7.66,8.23,1532,-0.35,-3619.18,-2087.53,-114,LI;C,-200,order,12,566,S
60518S,ANR,9/14/2012 9:35,ANR,,,,-,-200,8.66,8.55,1732,-0.36,-2560.33,-828.69,22,LI;C,-200,order,12,567,S
60518S,ANR,9/17/2012 9:30,ANR,,,,-,200,8.19,8.08,-1638,-0.84,1638.84,2087.53,-22,O,200,order,12,568,S
60518S,ARNA,9/17/2012 15:45,ARNA,,,,-,-200,8.62,8.62,1724,-0.36,-2224.22,0,0,P;C,-200,order,12,569,S
60518S,ARNA,9/18/2012 14:29,ARNA,,,,-,-200,9.28,9.26,1856,-0.36,-1670.32,185.32,4,LI;C,-200,order,12,570,S
60518S,ARNA,9/24/2012 15:26,ARNA,,,,-,200,8.51,8.43,-1702,-0.32,1702.32,0,-16,O,200,order,12,571,S
60518S,ALXA,10/5/2012 10:52,ALXA,,,,-,-500,5.22,5.55,2610,-0.86,-2010.75,598.39,-165,C,-500,order,12,572,S
60518S,ALXA 17NOV12 5.0 P,10/5/2012 11:43,ALXA,2012-11-17 00:00:00,5.00,P,-,-5,0.7,0.762668,350,-0.05,-349.95,0,-31.33,O,-5,order,12,573,O
60518S,ALXA 19JAN13 5.0 P,10/5/2012 12:12,ALXA,2013-01-19 00:00:00,5.00,P,-,-3,1.65,1.629701,495,-2.29,-492.71,0,6.09,O,-3,order,12,574,O
60518S,C 19JAN13 40.0 P,10/5/2012 12:41,C,2013-01-19 00:00:00,40.00,P,-,2,5.45,5.924738,-1090,-1.52,1149.06,57.54,94.95,LI;C,2,order,12,575,O
60518S,AXL 19JAN13 12.5 C,10/5/2012 13:59,AXL,2013-01-19 00:00:00,12.50,C,-,-2,1.3,1.176193,260,-1.52,-258.48,0,24.76,O,-2,order,12,576,O
60518S,C 19JAN13 35.0 P,10/5/2012 14:10,C,2013-01-19 00:00:00,35.00,P,-,-2,2.49,2.516171,498,-1.53,-496.47,0,-5.23,O,-2,order,12,577,O
60518S,ARNA,10/10/2012 13:27,ARNA,,,,-,-200,9.28,9.3,1856,-0.36,-2275.29,0,-4,P;SL;C,-200,order,12,578,S
60518S,C 19JAN13 40.0 P,10/11/2012 10:24,C,2013-01-19 00:00:00,40.00,P,-,2,4.9,5.27502,-980,-1.52,1149.06,167.54,75,LI;C,2,order,12,579,O
60518S,AAPL 17NOV12 665.0 C,10/11/2012 13:54,AAPL,2012-11-17 00:00:00,665.00,C,-,1,13.75,12.497152,-1375,-0.68,1718.9,343.22,-125.28,LI;C,1,order,12,580,O
60518S,AAPL 22DEC12 660.0 C,10/11/2012 14:45,AAPL,2012-12-22 00:00:00,660.00,C,-,3,22.55,21.224844,-6765,-2.28,15064.19,8296.92,-397.55,LI;C,3,order,12,581,O
60518S,C 19JAN13 40.0 P,10/15/2012 15:06,C,2013-01-19 00:00:00,40.00,P,-,2,4.6,4.362974,-920,-1.52,1149.06,227.54,-47.41,LI;C,2,order,12,582,O
60518S,ANR,10/16/2012 8:04,ANR,,,,-,-200,8.66,8.55,1732,-0.36,-3726.37,-1994.73,22,P;LI;C,-200,order,12,583,S
60518S,ANR,10/16/2012 9:30,ANR,,,,-,200,8.51,8.55,-1702,-0.84,1702.84,1994.73,8,O,200,order,12,584,S
60518S,ANR,10/16/2012 9:32,ANR,,,,-,-200,8.68,8.55,1736,-0.36,-3697.57,-1961.93,26,LI;C,-200,order,12,585,S
60518S,ANR,10/16/2012 9:34,ANR,,,,-,200,8.57,8.55,-1714,-0.44,1714.44,1961.93,-4,O,200,order,12,586,S
60518S,ANR,10/16/2012 9:46,ANR,,,,-,-200,8.68,8.55,1736,-0.36,-3676.37,-1940.73,26,LI;C,-200,order,12,587,S
60518S,ANR,10/16/2012 10:45,ANR,,,,-,200,8.59,8.55,-1718,-0.44,1718.44,1940.73,-8,O,200,order,12,588,S
60518S,ARNA,10/17/2012 9:42,ARNA,,,,-,-200,9.72,9.99,1944,-0.36,-2222.9,0,-54,SL;C,-200,order,12,589,S
60518S,ANR,10/17/2012 11:42,ANR,,,,-,-200,8.68,9.26,1736,-0.48,-3659.17,-1923.65,-116,LI;C,-200,order,12,590,S
60518S,AFL 19JAN13 55.0 C,10/17/2012 12:43,AFL,2013-01-19 00:00:00,55.00,C,-,-3,0.45,0.469765,135,-2.28,-132.72,0,-5.93,O,-3,order,12,591,O
60518S,ANAC,10/17/2012 16:01,ANAC,,,,-,800,6.25,6.46,-5000,-0.96,5000.96,0,168,O,800,order,12,592,S
60518S,ANR,10/18/2012 10:01,ANR,,,,-,-200,9.66,9.15,1932,-0.48,-3652.61,-1721.1,102,C,-200,order,12,593,S
60518S,ANR,10/18/2012 10:10,ANR,,,,-,200,9.57,9.15,-1914,-0.32,1914.32,1923.65,-84,O,200,order,12,594,S
60518S,BTH,10/18/2012 14:55,BTH,,,,-,198,25.75,25.89,-5098.5,-0.44,5098.94,0,27.72,P;O,198,order,12,595,S
60518S,ARNA,10/19/2012 9:38,ARNA,,,,-,200,9.45,9.19,-1890,-0.32,1890.32,0,-52,P;O,200,order,12,596,S
60518S,APP,10/19/2012 11:08,APP,,,,-,2000,1.11,1.06,-2220,-3.21,2223.21,0,-100,P;O,2000,order,12,597,S
60518S,AAPL 22DEC12 665.0 C,10/19/2012 15:00,AAPL,2012-12-22 00:00:00,665.00,C,-,-1,15.08,14.536501,1508,-1.09,-1506.91,0,54.35,O,-1,order,12,598,O
60518S,AAPL,10/19/2012 15:00,AAPL,,,,-,100,614.54,609.84,-61454,-0.82,61454.82,0,-470,O,100,order,12,599,S
60518S,BRCD 20APR13 5.0 P,10/22/2012 15:01,BRCD,2013-04-20 00:00:00,5.00,P,-,-3,0.4,0.369082,120,-2.28,-117.72,0,9.28,P;O,-3,order,12,600,O
60518S,ALXA,10/23/2012 9:44,ALXA,,,,-,300,5.15,5.18,-1545,-0.48,1545.48,0,9,O,300,order,12,601,S
60518S,AMZN 18JAN14 300.0 C,10/25/2012 14:30,AMZN,2014-01-18 00:00:00,300.00,C,-,-2,13.2,13.057495,2640,-0.82,-2639.18,0,28.5,O,-2,order,12,602,O
60518S,CALX,10/26/2012 13:25,CALX,,,,-,-200,6.82,6.85,1364,-0.47,-1530.44,-166.91,-6,P;C,-200,order,12,603,S
60518S,CALX,11/1/2012 14:08,CALX,,,,-,-200,7.02,7,1404,-0.47,-1530.44,-126.91,4,P;C,-200,order,12,604,S
60518S,CARB,11/6/2012 10:35,CARB,,,,-,400,9.45,9.09,-3780,-0.64,3780.64,0,-144,P;O,400,order,12,605,S
60518S,ANR,11/6/2012 13:44,ANR,,,,-,-200,9.78,9.62,1956,-0.48,-3837.97,-1882.46,32,LI;C,-200,order,12,606,S
60518S,LNKD 18JAN14 150.0 C,11/7/2012 11:46,LNKD,2014-01-18 00:00:00,150.00,C,-,1,6.7,6.461324,-670,-0.26,1399.66,729.4,-23.87,LI;C,1,order,12,607,O
60518S,LNKD 18JAN14 150.0 C,11/7/2012 13:19,LNKD,2014-01-18 00:00:00,150.00,C,-,1,6.5,6.461324,-650,-0.26,1349.66,699.4,-3.87,LI;C,1,order,12,608,O
60518S,LNKD,11/8/2012 12:15,LNKD,,,,-,100,98.51,96.35,-9851,-0.51,8974.58,-876.93,-216,MSL;C,100,order,12,609,S
