filecode,Symbol,Trade_Time,Underlying,Expiry,Strike,O_Type,Xchange,Q,Price,C_Price,Proceeds,CommTax,Basis,Realized_PL,MTM_PL,Codes,TotalQ,yr,inputLine,SecType,bkrGroup,account,LS,OC,multi
60518S,LNKD,2012-11-16 12:02:33,LNKD,,,,NYSE,-100,103.8,103.13,10380.00,-0.8,-10379.20,876.93,67,O,-100,12,802,S,538,IB9048,S,O,1
60518S,ALXA,2012-11-16 16:20:00,ALXA,,,,--,500,5,4.12,-2500.00,0,2500.00,0.00,-440,A;O,500,12,803,S,29,IB9048,L,O,1
60518S,AAPL 17NOV12 720.0 C,2012-11-16 16:20:00,AAPL,2012-11-17 00:00:00,720.00,C,--,1,0,0,0.00,0,1024.36,1024.36,0,Ep;C,1,12,804,O,590,IB9048,L,C,100
60518S,ALXA 17NOV12 5.0 P,2012-11-16 16:20:00,ALXA,2012-11-17 00:00:00,5.00,P,--,5,0,0.88,0.00,0,349.95,0.00,440,A;C,5,12,805,O,622,IB9048,L,C,100
60518S,ALXA,2012-11-23 10:20:02,ALXA,,,,ARCA,-300,5.29,5.42,1587.00,-0.52,-1545.48,41.00,-39,SL;C,-300,12,806,S,30,IB9048,S,C,1
60518S,AAPL 22DEC12 665.0 C,2012-11-26 10:49:05,AAPL,2012-12-22 00:00:00,665.00,C,CBOE,-2,0.92,1.404581,184.00,-1.52,-182.48,0.00,-96.92,O,-2,12,807,O,595,IB9048,S,O,100
60518S,AMZN 22DEC12 260.0 C,2012-11-29 15:40:34,AMZN,2012-12-22 00:00:00,260.00,C,NASDAQOM,-1,3.09,2.920124,309.00,-0.69,-308.31,0.00,16.99,P;O,-2,12,808,O,644,IB9048,S,O,100
60518S,AMZN 22DEC12 260.0 C,2012-11-29 15:40:35,AMZN,2012-12-22 00:00:00,260.00,C,NASDAQOM,-1,3.09,2.920124,309.00,-0.09,-308.91,0.00,16.99,P;O,-2,12,809,O,645,IB9048,S,O,100
60518S,CADX,2012-11-30 10:26:53,CADX,,,,ISLAND,-300,4.56,4.26,1368.00,-0.51,-2819.33,-1451.84,90,MSL;C,-300,12,810,S,203,IB9048,S,C,1
60518S,ALXA,2012-11-30 10:47:19,ALXA,,,,ARCA,-100,5.62,5.5,562.00,-0.52,-430.01,131.47,12,LI;C,-100,12,811,S,31,IB9048,S,C,1
60518S,ALXA,2012-11-30 10:49:28,ALXA,,,,ARCA,100,5.52,5.5,-552.00,-0.51,552.51,0.00,-2,O,100,12,812,S,32,IB9048,L,O,1
60518S,ALXA,2012-11-30 12:12:37,ALXA,,,,ARCA,-200,5.62,5.5,1124.00,-0.35,-982.52,141.13,24,LI;C,-200,12,813,S,33,IB9048,S,C,1
60518S,CADX 18MAY13 4.0 P,2012-11-30 12:40:20,CADX,2013-05-18 00:00:00,4.00,P,NASDAQOM,-3,0.55,0.584537,165.00,0.12,-165.12,0.00,-10.36,O,-3,12,814,O,778,IB9048,S,O,100
60518S,ALXA,2012-11-30 13:14:29,ALXA,,,,ISLAND,200,5.51,5.5,-1102.00,-0.32,1102.32,0.00,-2,O,200,12,815,S,34,IB9048,L,O,1
60518S,ALXA,2012-12-03 09:58:51,ALXA,,,,ISLAND,-200,5.63,5.47,1126.00,-0.35,-1102.32,23.33,32,LI;C,-200,12,816,S,35,IB9048,S,C,1
60518S,ALXA,2012-12-03 10:09:35,ALXA,,,,IBKRATS,200,5.51,5.47,-1102.00,-0.32,1102.32,0.00,-8,O,200,12,817,S,36,IB9048,L,O,1
60518S,CADX,2012-12-03 15:08:53,CADX,,,,ISLAND,300,4.19,4.17,-1257.00,-0.48,1257.48,1451.84,-6,O,300,12,818,S,204,IB9048,L,O,1
60518S,AMZN 22DEC12 260.0 C,2012-12-05 10:29:37,AMZN,2012-12-22 00:00:00,260.00,C,NASDAQOM,2,2.55,3.237942,-510.00,-0.76,617.23,106.47,137.59,LI;C,2,12,819,O,646,IB9048,L,C,100
60518S,C 19JAN13 40.0 C,2012-12-05 13:09:51,C,2013-01-19 00:00:00,40.00,C,ISE,-2,0.42,0.477838,84.00,-1.52,-82.48,0.00,-11.57,O,-2,12,820,O,772,IB9048,S,O,100
60518S,BAC 19JAN13 12.5 P,2012-12-07 12:51:13,BAC,2013-01-19 00:00:00,12.50,P,CBOE,4,1.95,1.912358,-780.00,-3.04,790.58,7.54,-15.06,LI;C,4,12,821,O,696,IB9048,L,C,100
60518S,BAC 19JAN13 12.5 P,2012-12-07 13:56:40,BAC,2013-01-19 00:00:00,12.50,P,CBOE,4,1.94,1.912358,-776.00,-3.38,790.58,11.20,-11.06,LI;C,4,12,822,O,697,IB9048,L,C,100
60518S,BAC 19JAN13 12.5 P,2012-12-07 15:42:50,BAC,2013-01-19 00:00:00,12.50,P,CBOE,4,1.9,1.912358,-760.00,-3.04,790.58,27.54,4.94,LI;C,4,12,823,O,698,IB9048,L,C,100
60518S,LNKD 18JAN14 150.0 C,2012-12-11 15:37:34,LNKD,2014-01-18 00:00:00,150.00,C,ISE,-1,8.3,8.070591,830.00,-1.08,-828.92,0.00,22.94,P;O,-2,12,824,O,831,IB9048,S,O,100
60518S,LNKD 18JAN14 150.0 C,2012-12-11 15:37:53,LNKD,2014-01-18 00:00:00,150.00,C,ISE,-1,8.3,8.070591,830.00,-0.48,-829.52,0.00,22.94,P;O,-2,12,825,O,832,IB9048,S,O,100
60518S,CADX,2012-12-12 09:23:45,CADX,,,,ARCA,-100,4.52,4.5,452.00,-1.03,-899.13,-448.16,2,LI;C,-100,12,826,S,205,IB9048,S,C,1
60518S,CADX,2012-12-13 19:15:42,CADX,,,,ARCA,-200,4.52,4.44,904.00,-0.34,-1810.19,-906.53,16,LI;C,-200,12,827,S,206,IB9048,S,C,1
60518S,CADX,2012-12-14 09:30:02,CADX,,,,ISLAND,-300,4.68,4.75,1404.00,-0.51,-2761.34,-1357.85,-21,LI;C,-300,12,828,S,207,IB9048,S,C,1
60518S,CADX,2012-12-14 10:22:37,CADX,,,,ISLAND,-100,4.74,4.75,474.00,-0.52,-935.80,-462.32,-1,P;LI;C,-400,12,829,S,208,IB9048,S,C,1
60518S,CADX,2012-12-14 10:22:38,CADX,,,,ISLAND,-300,4.74,4.75,1422.00,-0.16,-2807.39,-1385.55,-3,P;LI;C,-400,12,830,S,209,IB9048,S,C,1
60518S,C,2012-12-17 16:50:11,C,,,,BATS,-200,39.09,39.15,7818.00,-0.42,-6008.44,1809.14,-12,C,-200,12,831,S,189,IB9048,S,C,1
60518S,ATML 19JAN13 12.5 P,2012-12-18 14:05:36,ATML,2013-01-19 00:00:00,12.50,P,BOX,10,6.7,6.430365,-6700.00,-1.81,2892.86,-3808.96,-269.64,LI;C,10,12,832,O,659,IB9048,L,C,100
60518S,ANR,2012-12-19 09:35:41,ANR,,,,NYSE,-200,10.16,9.53,2032.00,-1.29,-3652.61,-1621.90,126,C,-200,12,833,S,98,IB9048,S,C,1
60518S,CALX,2012-12-19 11:41:51,CALX,,,,BATS,-200,7.72,7.66,1544.00,-0.28,-1530.44,13.28,12,C,-200,12,834,S,224,IB9048,S,C,1
60518S,ATML 19JAN13 12.5 P,2012-12-20 14:16:51,ATML,2013-01-19 00:00:00,12.50,P,BATS,10,6.35,6.280134,-6350.00,0.39,2892.86,-3456.76,-69.87,LI;C,10,12,835,O,660,IB9048,L,C,100
60518S,ATML 19JAN13 12.5 P,2012-12-21 10:14:14,ATML,2013-01-19 00:00:00,12.50,P,AMEX,10,6.3,6.272878,-6300.00,-7.61,2892.86,-3414.76,-27.12,LI;C,10,12,836,O,661,IB9048,L,C,100
60518S,AMD 19JAN13 7.5 P,2012-12-21 10:15:18,AMD,2013-01-19 00:00:00,7.50,P,CBOE,10,5.15,4.91279,-5150.00,-7.61,1406.46,-3751.16,-237.21,LI;C,10,12,837,O,624,IB9048,L,C,100
60518S,AMSC 19JAN13 8.0 P,2012-12-21 13:41:51,AMSC,2013-01-19 00:00:00,8.00,P,NASDAQOM,7,5.3,5.140557,-3710.00,0.27,1730.54,-1979.19,-111.61,LI;C,7,12,838,O,626,IB9048,L,C,100
60518S,AMD 19JAN13 7.5 P,2012-12-21 14:06:43,AMD,2013-01-19 00:00:00,7.50,P,CBOE,10,5.1,4.91279,-5100.00,-7.61,1315.36,-3792.26,-187.21,LI;C,10,12,839,O,625,IB9048,L,C,100
60518S,AMSC 19JAN13 8.0 P,2012-12-21 15:55:45,AMSC,2013-01-19 00:00:00,8.00,P,BATS,5,5.25,5.140557,-2625.00,0.19,1222.39,-1402.42,-54.72,LI;C,5,12,840,O,627,IB9048,L,C,100
60518S,AAPL 22DEC12 665.0 C,2012-12-21 16:20:00,AAPL,2012-12-22 00:00:00,665.00,C,--,3,0,0,0.00,0,1689.38,1689.38,0,Ep;C,3,12,841,O,596,IB9048,L,C,100
60518S,AAPL,2012-12-31 17:18:42,AAPL,,,,ARCA,-133,532.7,532.1729,70849.10,-2.03,-53859.16,16987.90,70.1,P;C,-400,12,842,S,11,IB9048,S,C,1
60518S,AAPL,2012-12-31 17:31:27,AAPL,,,,ARCA,-267,532.7,532.1729,142230.90,-3.38,-109382.14,32845.38,140.74,P;C,-400,12,843,S,12,IB9048,S,C,1
